date,nav
2017-12-26,25.4417
2018-07-03,17.8402
2018-07-04,17.9549
2018-07-05,17.9345
2018-07-06,17.9767
2018-07-09,18.1508
2018-07-10,18.1789
2018-07-11,18.147
2018-07-12,18.1798
2018-07-13,18.0769
2018-07-16,17.7079
2018-07-17,17.8164
2018-07-18,17.758
2018-07-19,17.7005
2018-07-20,17.6536
2018-07-23,17.8099
2018-07-24,17.8789
2018-07-25,17.8381
2018-07-26,17.9367
2018-07-27,18.2931
2018-07-30,18.4646
2018-07-31,18.562
2018-08-01,18.4835
2018-08-02,18.4803
2018-08-03,18.6881
2018-08-06,18.9321
2018-08-07,18.8131
2018-08-08,18.8207
2018-08-09,18.752
2018-08-10,18.7962
2018-08-13,18.5798
2018-08-14,18.5909
2018-08-16,18.5616
2018-08-17,18.6512
2018-08-20,18.7861
2018-08-21,18.9049
2018-08-23,18.9405
2018-08-24,18.8723
2018-08-27,19.0079
2018-08-28,19.0519
2018-08-29,19.1189
2018-08-30,19.1595
2018-08-31,19.2881
2018-09-03,19.1872
2018-09-04,18.9544
2018-09-05,18.8457
2018-09-06,18.9806
2018-09-07,19.038
2018-09-10,18.8163
2018-09-11,18.6073
2018-09-12,18.6532
2018-09-14,18.9319
2018-09-17,18.7962
2018-09-18,18.6824
2018-09-19,18.497
2018-09-21,18.3851
2018-09-24,18.0839
2018-09-25,17.982
2018-09-26,17.9164
2018-09-27,17.782
2018-09-28,17.5936
2018-10-01,17.5578
2018-10-03,17.5187
2018-10-04,17.1889
2018-10-05,16.8646
2018-10-08,16.7655
2018-10-09,16.6911
2018-10-10,17.1151
2018-10-11,16.9099
2018-10-12,17.1554
2018-10-15,17.2632
2018-10-16,17.4313
2018-10-17,17.2474
2018-10-19,17.0373
2018-10-22,16.9287
2018-10-23,16.7524
2018-10-24,16.976
2018-10-25,16.9214
2018-10-26,16.9533
2018-10-29,17.3341
2018-10-30,17.4027
2018-10-31,17.655
2018-11-01,17.7476
2018-11-02,17.8611
2018-11-05,17.7392
2018-11-06,17.6676
2018-11-09,17.7965
2018-11-12,17.5942
2018-11-13,17.7554
2018-11-14,17.7423
2018-11-15,17.7853
2018-11-16,17.9369
2018-11-19,17.9476
2018-11-20,17.8361
2018-11-21,17.843
2018-11-22,17.8008
2018-11-26,17.8079
2018-11-27,17.8287
2018-11-28,17.714
2018-11-29,17.7681
2018-11-30,17.855
2018-12-03,17.8821
2018-12-04,17.9337
2018-12-05,17.8067
2018-12-06,17.5065
2018-12-07,17.574
2018-12-10,17.3588
2018-12-11,17.3709
2018-12-12,17.84
