date,method,origin_date,pred,actual
2008-04-11,naive,2008-04-09,34.7,26.871
2008-04-12,naive,2008-04-09,34.7,24.481
2008-05-02,naive,2008-04-09,34.7,38.828
2008-05-03,naive,2008-04-09,34.7,35.877
2008-05-05,naive,2008-04-09,34.7,36.779
2008-05-06,naive,2008-04-09,34.7,34.352
2008-05-08,naive,2008-04-09,34.7,34.021
2008-05-09,naive,2008-04-09,34.7,34.357
2008-05-11,naive,2008-04-09,34.7,26.563
2008-05-12,naive,2008-04-09,34.7,24.153
2008-06-02,naive,2008-04-09,34.7,38.219
2008-06-05,naive,2008-04-09,34.7,36.712
2008-06-06,naive,2008-04-09,34.7,34.102
2008-06-08,naive,2008-04-09,34.7,34.061
2008-06-10,naive,2008-04-09,34.7,29.924
2008-06-11,naive,2008-04-09,34.7,26.039
2008-07-01,naive,2008-04-09,34.7,41.841
2008-07-02,naive,2008-04-09,34.7,37.79
2008-07-03,naive,2008-04-09,34.7,35.134
2008-07-04,naive,2008-04-09,34.7,34.206
2008-07-05,naive,2008-04-09,34.7,36.671
2008-07-07,naive,2008-04-09,34.7,31.424
2008-07-08,naive,2008-04-09,34.7,34.104
2008-07-10,naive,2008-04-09,34.7,29.662
2008-07-11,naive,2008-04-09,34.7,26.312
2008-08-01,naive,2008-04-09,34.7,41.495
2008-08-02,naive,2008-04-09,34.7,37.524
2008-08-04,naive,2008-04-09,34.7,34.119
2008-08-05,naive,2008-04-09,34.7,36.181
2008-08-07,naive,2008-04-09,34.7,31.186
2008-04-11,seasonal_naive,2008-04-09,34.7,26.871
2008-04-12,seasonal_naive,2008-04-09,34.7,24.481
2008-05-02,seasonal_naive,2008-04-09,34.7,38.828
2008-05-03,seasonal_naive,2008-04-09,34.7,35.877
2008-05-05,seasonal_naive,2008-04-09,34.7,36.779
2008-05-06,seasonal_naive,2008-04-09,34.7,34.352
2008-05-08,seasonal_naive,2008-04-09,34.7,34.021
2008-05-09,seasonal_naive,2008-04-09,34.7,34.357
2008-05-11,seasonal_naive,2008-04-09,34.7,26.563
2008-05-12,seasonal_naive,2008-04-09,34.7,24.153
2008-06-02,seasonal_naive,2008-04-09,34.7,38.219
2008-06-05,seasonal_naive,2008-04-09,34.7,36.712
2008-06-06,seasonal_naive,2008-04-09,34.7,34.102
2008-06-08,seasonal_naive,2008-04-09,34.7,34.061
2008-06-10,seasonal_naive,2008-04-09,34.7,29.924
2008-06-11,seasonal_naive,2008-04-09,34.7,26.039
2008-07-01,seasonal_naive,2008-04-09,34.7,41.841
2008-07-02,seasonal_naive,2008-04-09,34.7,37.79
2008-07-03,seasonal_naive,2008-04-09,34.7,35.134
2008-07-04,seasonal_naive,2008-04-09,34.7,34.206
2008-07-05,seasonal_naive,2008-04-09,34.7,36.671
2008-07-07,seasonal_naive,2008-04-09,34.7,31.424
2008-07-08,seasonal_naive,2008-04-09,34.7,34.104
2008-07-10,seasonal_naive,2008-04-09,34.7,29.662
2008-07-11,seasonal_naive,2008-04-09,34.7,26.312
2008-08-01,seasonal_naive,2008-04-09,34.7,41.495
2008-08-02,seasonal_naive,2008-04-09,34.7,37.524
2008-08-04,seasonal_naive,2008-04-09,34.7,34.119
2008-08-05,seasonal_naive,2008-04-09,34.7,36.181
2008-08-07,seasonal_naive,2008-04-09,34.7,31.186
2008-04-11,arima,2008-04-09,34.06038821168896,26.871
2008-04-12,arima,2008-04-09,33.68738558040712,24.481
2008-05-02,arima,2008-04-09,33.637301212522694,38.828
